;Worldwide Navigation Database
;Exported via DFD v1.0 19.1003
;Software copyright (c) 2019 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;Source data copyright (c) 2019 Jeppesen
;This data may be used for ground based recreational computer game
;simulation software only, and may not be recompiled, interpreted,
;or distributed for any purpose without the written consent of Navigraph.
;The contents of this database is dated and must not be used for real
;world navigation as it is unlawful and unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1804 (29/MAR/2018 - 26/APR/2018) - Ver.1
;------------------------------------------------------
01ID 14   42.611000-112.034867 156 00882
01ID 32   42.603733-112.030533 336 00882
01NK 16   43.425000 -73.261944 145 00762
01NK 34   43.425000 -73.261944 325 00762
01TX 17   29.461478-100.114294 175 01768
01TX 35   29.461478-100.114294 355 01768
01WI 01   44.006889 -90.389931 010 00792
01WI 19   44.013100 -90.388405 190 00792
02WA 16   47.155952-122.094002 180 00808
02WA 34   47.148682-122.094002 360 00808
04WN 11   46.958358-119.638819 125 01250
04WN 29   46.958358-119.638819 305 01250
06FA 09   26.908153 -80.338419 090 02135 111.30 095
06FA 27   26.908156 -80.318408 270 02135
06WN 09   46.925831-122.556397 110 00867
06WN 27   46.923697-122.547939 290 00867
07FA 05   25.319517 -80.279911 038 01357
07FA 23   25.328153 -80.272389 218 01357
07MT 10   48.430342-106.551786 120 04115 108.50 106
07MT 28   48.415275-106.512558 300 04115 111.70 286
09CL 01   39.108575-121.057403 026 00864
09CL 19   39.115550-121.052975 206 00864
0AA1 08   60.081942-142.507200 101 01326
0AA1 26   60.079756-142.483789 281 01326
0AA4 08   62.509111-153.890283 103 01402
0AA4 26   62.509111-153.890283 283 01402
0CL3 09   32.633994-116.892797 103 00621
0CL3 27   32.632575-116.887142 283 00621
0CN1 16   37.455239-120.764756 180 00679
0CN1 34   37.449117-120.764758 360 00679
0TA8 16   30.670833 -99.331944 165 00387
0TA8 34   30.670833 -99.331944 345 00387
0TE7 17   30.260439 -98.623375 179 01917
0TE7 35   30.243203 -98.621703 359 01917
0TX1 01   32.349028 -97.677167 011 01067
0TX1 19   32.358486 -97.675083 191 01067
0WA1 16   46.619785-122.826233 180 00610
0WA1 34   46.614300-122.826233 360 00610
0XA4 15   28.003258 -98.886356 153 01526
0XA4 33   27.990969 -98.879367 333 01526
0XA5 14   28.689733 -98.386642 144 01185
0XA5 32   28.681036 -98.379594 324 01185
0XS7 13   29.200681-100.286433 140 01829
0XS7 31   29.188061-100.274383 320 01829
10AR 07   34.262861 -92.121611 070 00762
10AR 25   34.262861 -92.121611 250 00762
10CO 07   39.267808-108.868614 085 00792
10CO 25   39.268408-108.859458 265 00792
10FA 11   28.798521 -81.939766 107 00785
10FA 29   28.796457 -81.932060 287 00785
11WY 07   44.958606-104.868656 079 00914
11WY 25   44.958606-104.868656 259 00914
12CL 14   36.160347-119.851585 155 00850
12CL 32   36.153412-119.847572 335 00850
12LS 01   30.178611 -92.285000 014 00640
12LS 19   30.178611 -92.285000 194 00640
12NK 01   44.158386 -73.432906 355 00823
12NK 19   44.158386 -73.432906 175 00823
13ME 09   45.775183 -69.813547 072 00671
13ME 27   45.777050 -69.805350 252 00671
14ME 16   44.792569 -69.070322 142 00335
14ME 34   44.792569 -69.070322 322 00335
14TS 16   27.429214 -98.608111 156 01832
14TS 34   27.414094 -98.600619 336 01832
15FL 09   30.148592 -82.670540 088 00792
15FL 18   30.159522 -82.666861 186 01067
15FL 27   30.148813 -82.663277 268 00792
15FL 36   30.152006 -82.667733 006 01067
16TX 16   32.853931-100.137961 165 00975
16TX 34   32.845419-100.135336 345 00975
17AR 18   34.556065 -92.091141 183 00671
17AR 36   34.550045 -92.091644 363 00671
17FL 18   29.287958 -82.122520 177 02301
17FL 36   29.267279 -82.121284 357 02301
17NK 17   42.456944 -76.950833 158 00853
17NK 35   42.456944 -76.950833 338 00853
17XS 01   32.170600 -98.438156 020 01919
17XS 19   32.185881 -98.431531 200 01919
18AZ 06   33.817173-111.904472 073 01230
18AZ 24   33.820408-111.891731 253 01230
18FD 09   30.854141 -86.671860 091 00919
18FD 27   30.854000 -86.662491 271 00919
18NV 07   40.578556-119.351444 087 00966
18NV 18   40.583367-119.348942 202 01149
18NV 25   40.578556-119.351444 267 00966
18NV 36   40.573739-119.353928 022 01149
19MT 06   46.835306-108.948119 070 01829
19MT 24   46.840833-108.925547 250 01829
1CO5 08   38.015286-103.699117 090 01152
1CO5 18   38.015286-103.699117 190 00762
1CO5 26   38.015286-103.699117 270 01152
1CO5 36   38.015286-103.699117 370 00762
1NK7 13   43.466736 -75.249614 117 00853
1NK7 31   43.466736 -75.249614 297 00853
1TX4 15   29.278875 -95.889278 159 01311
1TX4 33   29.267806 -95.884528 339 01311
1VA1 08   36.733967 -80.453539 072 01530
1VA1 26   36.738297 -80.437275 252 01530
1XA4 15   29.876192 -96.005953 156 00600
1XA4 33   29.871236 -96.003444 336 00600
1XS4 17   30.633311 -99.194661 175 00808
1XS4 35   30.633311 -99.194661 355 00808
20GA 10   33.756767 -84.892461 092 01372
20GA 28   33.756344 -84.877664 272 01372
22FA 09   27.302975 -82.276489 088 00770
22FA 27   27.303215 -82.268692 268 00770
23MU 18   38.021928 -93.693006 183 00741
23MU 36   38.016083 -93.693364 363 00741
24AZ 06   34.157715-110.937309 072 01204
24AZ 24   34.161064-110.924858 252 01204
24MO 07   38.132309 -92.838211 074 00853
24MO 25   38.134422 -92.828827 254 00853
25NV 06   39.201025-119.684689 060 00248
25NV 18   39.201578-119.683442 196 00671
25NV 24   39.202133-119.682192 240 00248
25NV 36   39.201578-119.683442 376 00671
25TS 17   36.091700-102.415744 180 01981
25TS 35   36.091700-102.415744 360 01981
27XS 17   29.843719 -95.950028 180 01247
27XS 35   29.832500 -95.949944 360 01247
29IA 17   40.760414 -95.624189 173 00929
29IA 35   40.752117 -95.622772 353 00929
2CA4 17   33.261932-117.092064 183 00671
2CA4 35   33.255905-117.092445 363 00671
2CL1 06   39.454597-121.295675 079 00709
2CL1 24   39.455819-121.287589 259 00709
2CN4 16   35.666389-119.896389 173 01525
2CN4 34   35.666389-119.896389 353 01525
2IL9 04   41.429184 -87.785629 039 01036
2IL9 22   41.436432 -87.777802 219 01036
2KS6 18   39.754042 -96.026047 189 00823
2KS6 36   39.746717 -96.027519 009 00823
2MD5 02   39.405239 -76.928078 008 00610
2MD5 20   39.410672 -76.927053 188 00610
2MI5 09   42.941697 -85.486411 086 00930
2MI5 27   42.941697 -85.486411 266 00930
2NC0 14   35.871853 -82.347672 136 00884
2NC0 32   35.866131 -82.340851 316 00884
2NR2 01   34.457778 -78.618333 001 00610
2NR2 19   34.457778 -78.618333 181 00610
2SC8 11   33.786819 -81.094817 105 01021
2SC8 29   33.786819 -81.094817 285 01021
2TA8 13   26.863289 -98.228067 132 01676
2TA8 31   26.853267 -98.215431 312 01676
2TX0 17   35.069706-101.849472 179 01158
2TX0 35   35.059284-101.849243 359 01158
2VG2 13   38.975169 -77.877647 120 01554
2VG2 31   38.968103 -77.862161 300 01554
2XA0 17   33.979250 -99.712872 178 00975
2XA0 35   33.979250 -99.712872 358 00975
2XS2 15   28.269844-100.166108 155 01574
2XS2 33   28.256928-100.159436 335 01574
31CD 04   37.869750-104.789806 049 01524
31CD 22   37.869750-104.789806 229 01524
31VA 02   37.012261 -76.591092 013 01805
31VA 20   37.028133 -76.586675 193 01805
36CA 16   36.136398-119.986176 175 01006
36CA 34   36.127380-119.985199 355 01006
37XA 17   29.999167 -95.930433 179 01277
37XA 35   29.987647 -95.930306 359 01277
38AZ 02   36.463231-110.425103 034 02286
38AZ 20   36.480239-110.410703 214 02286
38WV 04   39.325000 -78.425000 030 00457
38WV 22   39.325000 -78.425000 210 00457
38XS 14   26.822297 -98.484025 149 01829
38XS 32   26.808131 -98.474583 329 01829
3FL0 08   29.435156 -81.660965 074 00914
3FL0 26   29.436987 -81.652527 254 00914
3GA3 04   34.871111 -85.437500 036 00457
3GA3 22   34.871111 -85.437500 216 00457
3LA4 12   29.802631 -92.808861 122 01220
3LA4 30   29.796733 -92.798208 302 01220
3MS9 10   32.580694 -89.136169 102 00777
3MS9 28   32.580694 -89.136169 282 00777
3NJ1 04   39.982178 -74.694972 028 00783
3NJ1 22   39.982178 -74.694972 208 00783
3NJ6 02   40.010786 -74.842094 007 01220
3NJ6 20   40.020353 -74.840531 187 01220
3NR3 09   35.270278 -82.644167 085 00885
3NR3 27   35.270278 -82.644167 265 00885
3PN7 02   41.747861 -75.497406 008 00671
